[20:35:13] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[20:35:15] [ServerMain/INFO]: Loaded 7 recipes
[20:35:15] [ServerMain/INFO]: Loaded 1271 advancements
[20:35:16] [Server thread/INFO]: Starting minecraft server version 1.20.1
[20:35:16] [Server thread/INFO]: Loading properties
[20:35:16] [Server thread/INFO]: Default game type: SURVIVAL
[20:35:16] [Server thread/INFO]: Generating keypair
[20:35:16] [Server thread/INFO]: Starting Minecraft server on *:25565
[20:35:16] [Server thread/INFO]: Using default channel type
[20:35:16] [Server thread/INFO]: Preparing level "world"
[20:35:25] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[20:35:26] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:35:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:35:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:35:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:35:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:35:28] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:35:28] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:35:29] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[20:35:29] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[20:35:30] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[20:35:30] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[20:35:31] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[20:35:31] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[20:35:32] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[20:35:32] [Worker-Main-1/INFO]: Preparing spawn area: 5%
[20:35:33] [Worker-Main-1/INFO]: Preparing spawn area: 6%
[20:35:33] [Worker-Main-1/INFO]: Preparing spawn area: 8%
[20:35:34] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[20:35:34] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[20:35:35] [Worker-Main-1/INFO]: Preparing spawn area: 12%
[20:35:35] [Worker-Main-3/INFO]: Preparing spawn area: 13%
[20:35:36] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[20:35:36] [Worker-Main-3/INFO]: Preparing spawn area: 16%
[20:35:37] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[20:35:37] [Worker-Main-1/INFO]: Preparing spawn area: 17%
[20:35:38] [Worker-Main-3/INFO]: Preparing spawn area: 18%
[20:35:38] [Worker-Main-3/INFO]: Preparing spawn area: 20%
[20:35:39] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[20:35:39] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[20:35:40] [Worker-Main-3/INFO]: Preparing spawn area: 24%
[20:35:40] [Worker-Main-3/INFO]: Preparing spawn area: 26%
[20:35:41] [Worker-Main-3/INFO]: Preparing spawn area: 28%
[20:35:41] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[20:35:42] [Worker-Main-3/INFO]: Preparing spawn area: 31%
[20:35:42] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[20:35:43] [Worker-Main-3/INFO]: Preparing spawn area: 34%
[20:35:43] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[20:35:44] [Worker-Main-3/INFO]: Preparing spawn area: 37%
[20:35:44] [Worker-Main-2/INFO]: Preparing spawn area: 38%
[20:35:45] [Worker-Main-1/INFO]: Preparing spawn area: 40%
[20:35:45] [Worker-Main-1/INFO]: Preparing spawn area: 42%
[20:35:46] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[20:35:46] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[20:35:47] [Worker-Main-1/INFO]: Preparing spawn area: 47%
[20:35:47] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[20:35:48] [Worker-Main-3/INFO]: Preparing spawn area: 51%
[20:35:48] [Worker-Main-2/INFO]: Preparing spawn area: 53%
[20:35:49] [Worker-Main-1/INFO]: Preparing spawn area: 54%
[20:35:49] [Worker-Main-1/INFO]: Preparing spawn area: 55%
[20:35:50] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[20:35:50] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[20:35:51] [Worker-Main-3/INFO]: Preparing spawn area: 61%
[20:35:51] [Worker-Main-2/INFO]: Preparing spawn area: 64%
[20:35:52] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[20:35:52] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[20:35:53] [Worker-Main-1/INFO]: Preparing spawn area: 71%
[20:35:53] [Worker-Main-1/INFO]: Preparing spawn area: 72%
[20:35:54] [Worker-Main-1/INFO]: Preparing spawn area: 75%
[20:35:54] [Worker-Main-3/INFO]: Preparing spawn area: 76%
[20:35:55] [Worker-Main-1/INFO]: Preparing spawn area: 77%
[20:35:55] [Worker-Main-2/INFO]: Preparing spawn area: 78%
[20:35:56] [Worker-Main-1/INFO]: Preparing spawn area: 81%
[20:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 83%
[20:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 86%
[20:35:57] [Worker-Main-2/INFO]: Preparing spawn area: 88%
[20:35:58] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[20:35:58] [Worker-Main-2/INFO]: Preparing spawn area: 92%
[20:35:59] [Worker-Main-1/INFO]: Preparing spawn area: 93%
[20:35:59] [Worker-Main-1/INFO]: Preparing spawn area: 95%
[20:36:00] [Worker-Main-3/INFO]: Preparing spawn area: 98%
[20:36:00] [Server thread/INFO]: Time elapsed: 34811 ms
[20:36:00] [Server thread/INFO]: Done (43.565s)! For help, type "help"
